Slide,Section,Title,Source references,Notes / qualifications
39,04 / T2-D06 • C / Evidence,Read the metrics alongside scope and limitations,"[D06R] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/README.md — Governed report
[D06E] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/engine.py — _prepare, duplicate groups, observed-span evaluation
[D06M] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/manifest.py — Role/grain/floor confirmation and freeze
[D06X] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/runner.py — Persist, human review and report
[D06T] source-codes/backend/tests/unit/test_lab/diagnostics/t2_d06_row_completeness/test_row_completeness_engine.py — Regression fixtures
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 6 executable
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Current engine methodology row-completeness-observed-span-v1 overrides the workbook expected-population/anti-join wording. The old contract header says workflow pending, but current register enables #6. Rule IDs are T2D6-01 through T2D6-06. Example from test_invalid_rows_full_calendar_gap_duplicates_and_observed_span_reconcile: 6 required pairs, 4 received, 1 surplus duplicate, 1 invalid row, and 4 primary issue instances (invalid + 2 missing + 1 surplus). This is a synthetic regression fixture, not client data or a new test run. Synthetic fixture example is documented in the appendix; visible metrics here describe the contract, not fabricated portfolio results."
40,04 / T2-D06 • D / Launch,"Confirm the scope, launch once and review final evidence","[D06R] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/README.md — Governed report
[D06E] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/engine.py — _prepare, duplicate groups, observed-span evaluation
[D06M] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/manifest.py — Role/grain/floor confirmation and freeze
[D06X] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/runner.py — Persist, human review and report
[D06T] source-codes/backend/tests/unit/test_lab/diagnostics/t2_d06_row_completeness/test_row_completeness_engine.py — Regression fixtures
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 6 executable
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Supported launch sequence is summarized from manifest/runner and diagnostic documentation. Drafts are mutable before freeze; frozen scope and completed artifacts remain historical evidence. Launch availability always follows the register. Six rule outcomes, masked evidence and continuity metrics are retained. Optional segment can be NOT-APPLICABLE. Input/period incompatibilities are reported; failed rules await human review and do not auto-create issues."
41,04 / T2-D06 • E / Issue & RCA,Carry the finding into a controlled investigation,"[D06R] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/README.md — Governed report
[D06E] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/engine.py — _prepare, duplicate groups, observed-span evaluation
[D06M] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/manifest.py — Role/grain/floor confirmation and freeze
[D06X] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/runner.py — Persist, human review and report
[D06T] source-codes/backend/tests/unit/test_lab/diagnostics/t2_d06_row_completeness/test_row_completeness_engine.py — Regression fixtures
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 6 executable
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register",Finding condition and creation gate are implemented as described. RCA uses the existing shared service. Investigation suggestions are derived from diagnostic evidence and framework remediation guidance; they are not automated source fixes. Optional tracked remediation and manual fresh-data assessment are separate from current RCA conclusion approval. Suggested: reconcile source deliveries or deduplicate; upload corrected panel and rerun for fresh evidence.
42,04 / T2-D08 • A / Purpose,Explain exceptional values before treating them as defects,"[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — User journey, semantic model, reporting, AAR and security
[D08M] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/manifest.py — Acknowledgment, bindings, freeze blockers
[D08E] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/engine.py — Deterministic primitives and precedence
[D08X] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/runner.py — Execution and artifacts
[D08K] source-codes/backend/knowledge_base/value_semantics_kb_v0_2.yaml — Versioned role and rule catalog
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Purpose and expected outcome derived from diagnostic sources. Implemented • enabled. Personas are operating responsibilities, not separate RBAC roles."
43,04 / T2-D08 • B / Approach,Follow the governed processing path,"[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — User journey, semantic model, reporting, AAR and security
[D08M] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/manifest.py — Acknowledgment, bindings, freeze blockers
[D08E] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/engine.py — Deterministic primitives and precedence
[D08X] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/runner.py — Execution and artifacts
[D08K] source-codes/backend/knowledge_base/value_semantics_kb_v0_2.yaml — Versioned role and rule catalog
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Active rules KB v0.2, terminology v0.3, engine v1.0.0. 36 canonical roles. CENSORED means the required future window/process is incomplete. STALE_FROZEN can be declared sentinel or governed non-variation; NOT_APPLICABLE requires confirmed business conditions. Missing prerequisites remain UNSCOPED. Unresolved competing tag precedence fails closed. Raw source values are excluded from persisted tag/ledger artifacts. Automated downstream consumption of all D08 tags by every diagnostic is not verified and is not claimed."
44,04 / T2-D08 • C / Evidence,Read the metrics alongside scope and limitations,"[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — User journey, semantic model, reporting, AAR and security
[D08M] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/manifest.py — Acknowledgment, bindings, freeze blockers
[D08E] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/engine.py — Deterministic primitives and precedence
[D08X] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/runner.py — Execution and artifacts
[D08K] source-codes/backend/knowledge_base/value_semantics_kb_v0_2.yaml — Versioned role and rule catalog
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Active rules KB v0.2, terminology v0.3, engine v1.0.0. 36 canonical roles. CENSORED means the required future window/process is incomplete. STALE_FROZEN can be declared sentinel or governed non-variation; NOT_APPLICABLE requires confirmed business conditions. Missing prerequisites remain UNSCOPED. Unresolved competing tag precedence fails closed. Raw source values are excluded from persisted tag/ledger artifacts. Automated downstream consumption of all D08 tags by every diagnostic is not verified and is not claimed."
45,04 / T2-D08 • D / Launch,"Confirm the scope, launch once and review final evidence","[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — User journey, semantic model, reporting, AAR and security
[D08M] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/manifest.py — Acknowledgment, bindings, freeze blockers
[D08E] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/engine.py — Deterministic primitives and precedence
[D08X] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/runner.py — Execution and artifacts
[D08K] source-codes/backend/knowledge_base/value_semantics_kb_v0_2.yaml — Versioned role and rule catalog
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Supported launch sequence is summarized from manifest/runner and diagnostic documentation. Drafts are mutable before freeze; frozen scope and completed artifacts remain historical evidence. Launch availability always follows the register. Deterministic tags and exhaustive routed coverage publish to AAR, with authenticated reports and inference disclosure. Unacknowledged intro or no usable confirmed role coverage blocks freeze. Missing optional inputs yield UNSCOPED."
46,04 / T2-D08 • E / Issue & RCA,Carry the finding into a controlled investigation,"[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — User journey, semantic model, reporting, AAR and security
[D08M] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/manifest.py — Acknowledgment, bindings, freeze blockers
[D08E] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/engine.py — Deterministic primitives and precedence
[D08X] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/runner.py — Execution and artifacts
[D08K] source-codes/backend/knowledge_base/value_semantics_kb_v0_2.yaml — Versioned role and rule catalog
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register",Finding condition and creation gate are implemented as described. RCA uses the existing shared service. Investigation suggestions are derived from diagnostic evidence and framework remediation guidance; they are not automated source fixes. Optional tracked remediation and manual fresh-data assessment are separate from current RCA conclusion approval. Suggested: correct declarations or source capture when justified; run a new assessment after change.
47,04 / T2-D11 • A / Purpose,Compare observed relationships with governed expectations,"[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Core invariants; empirical methodology; findings; KB proposal lifecycle
[D11M] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/manifest.py — Role decisions, orientation and atomic freeze
[D11E] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/engine.py — Component classification and guards
[D11X] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/runner.py — Artifacts, findings and report
[D11K] source-codes/backend/knowledge_base/pd_directionality_kb_v0_3.yaml — Expected-risk knowledge v0.3
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Purpose and expected outcome derived from diagnostic sources. Implemented • enabled. Personas are operating responsibilities, not separate RBAC roles."
48,04 / T2-D11 • B / Approach,Follow the governed processing path,"[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Core invariants; empirical methodology; findings; KB proposal lifecycle
[D11M] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/manifest.py — Role decisions, orientation and atomic freeze
[D11E] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/engine.py — Component classification and guards
[D11X] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/runner.py — Artifacts, findings and report
[D11K] source-codes/backend/knowledge_base/pd_directionality_kb_v0_3.yaml — Expected-risk knowledge v0.3
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Default requested quantile bins 5; minimum paired observations 30; minimum binary class 10; significance level .05; absolute Spearman floor .20; standardized regression floor .10; binned movement .10 reference standard deviations. These are tunable MVP defaults, not adequacy certification. Strong=3/3 directional corroboration; moderate=2/3. Shape and guards can instead yield non-monotonic, flat, conflicting, weak or insufficient-data classes. No formal adjacent-bin inversion count. Reviewed KB proposals require separate curation before a new packaged release consumes them."
49,04 / T2-D11 • C / Evidence,Read the metrics alongside scope and limitations,"[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Core invariants; empirical methodology; findings; KB proposal lifecycle
[D11M] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/manifest.py — Role decisions, orientation and atomic freeze
[D11E] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/engine.py — Component classification and guards
[D11X] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/runner.py — Artifacts, findings and report
[D11K] source-codes/backend/knowledge_base/pd_directionality_kb_v0_3.yaml — Expected-risk knowledge v0.3
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Default requested quantile bins 5; minimum paired observations 30; minimum binary class 10; significance level .05; absolute Spearman floor .20; standardized regression floor .10; binned movement .10 reference standard deviations. These are tunable MVP defaults, not adequacy certification. Strong=3/3 directional corroboration; moderate=2/3. Shape and guards can instead yield non-monotonic, flat, conflicting, weak or insufficient-data classes. No formal adjacent-bin inversion count. Reviewed KB proposals require separate curation before a new packaged release consumes them."
50,04 / T2-D11 • D / Launch,"Confirm the scope, launch once and review final evidence","[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Core invariants; empirical methodology; findings; KB proposal lifecycle
[D11M] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/manifest.py — Role decisions, orientation and atomic freeze
[D11E] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/engine.py — Component classification and guards
[D11X] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/runner.py — Artifacts, findings and report
[D11K] source-codes/backend/knowledge_base/pd_directionality_kb_v0_3.yaml — Expected-risk knowledge v0.3
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register",Supported launch sequence is summarized from manifest/runner and diagnostic documentation. Drafts are mutable before freeze; frozen scope and completed artifacts remain historical evidence. Launch availability always follows the register. Retained confirmations can be reused on compatible reruns; new overall/segment evidence is computed. Unresolved scope blocks freeze; atomic freeze failure leaves the draft. Feature failures remain explicit.
51,04 / T2-D11 • E / Issue & RCA,Carry the finding into a controlled investigation,"[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Core invariants; empirical methodology; findings; KB proposal lifecycle
[D11M] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/manifest.py — Role decisions, orientation and atomic freeze
[D11E] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/engine.py — Component classification and guards
[D11X] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/runner.py — Artifacts, findings and report
[D11K] source-codes/backend/knowledge_base/pd_directionality_kb_v0_3.yaml — Expected-risk knowledge v0.3
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Finding condition and creation gate are implemented as described. RCA uses the existing shared service. Investigation suggestions are derived from diagnostic evidence and framework remediation guidance; they are not automated source fixes. Optional tracked remediation and manual fresh-data assessment are separate from current RCA conclusion approval. Suggested: investigate mapping, population or business change; propose reviewed KB updates where warranted."
52,04 / T4-D14 • A / Purpose,Locate distribution changes between governed populations,"[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Route matrix, bin governance, execution and PSI calculation
[D14E] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/engine.py — classify and calculate_feature_psi
[D14M] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/manifest.py — Population and bin freeze
[D14X] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/runner.py — Execution, persistence, findings and report
[D14T] source-codes/backend/tests/integration/test_lab/diagnostics/t4_d14_population_stability/test_population_stability.py — Integration evidence
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Purpose and expected outcome derived from diagnostic sources. Implemented • enabled. Personas are operating responsibilities, not separate RBAC roles."
53,04 / T4-D14 • B / Approach,Follow the governed processing path,"[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Route matrix, bin governance, execution and PSI calculation
[D14E] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/engine.py — classify and calculate_feature_psi
[D14M] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/manifest.py — Population and bin freeze
[D14X] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/runner.py — Execution, persistence, findings and report
[D14T] source-codes/backend/tests/integration/test_lab/diagnostics/t4_d14_population_stability/test_population_stability.py — Integration evidence
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","engine.classify uses >= thresholds, overriding workbook prose with >. Calculation sums (Current share − Baseline share) × ln(Current share / Baseline share), with governed epsilon for zero shares. Target-free numeric bins use Baseline deciles; categoricals top 49 plus OTHER_BASELINE; missing is separate. One-snapshot target-aware always runs D02 on split Baseline. Two-snapshot target-aware uses the exact explicitly promoted D02 fine/coarse/IV chain or regenerates. No approximate reuse; a PSI-specific override does not become a universal D02 definition."
54,04 / T4-D14 • C / Evidence,Read the metrics alongside scope and limitations,"[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Route matrix, bin governance, execution and PSI calculation
[D14E] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/engine.py — classify and calculate_feature_psi
[D14M] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/manifest.py — Population and bin freeze
[D14X] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/runner.py — Execution, persistence, findings and report
[D14T] source-codes/backend/tests/integration/test_lab/diagnostics/t4_d14_population_stability/test_population_stability.py — Integration evidence
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","engine.classify uses >= thresholds, overriding workbook prose with >. Calculation sums (Current share − Baseline share) × ln(Current share / Baseline share), with governed epsilon for zero shares. Target-free numeric bins use Baseline deciles; categoricals top 49 plus OTHER_BASELINE; missing is separate. One-snapshot target-aware always runs D02 on split Baseline. Two-snapshot target-aware uses the exact explicitly promoted D02 fine/coarse/IV chain or regenerates. No approximate reuse; a PSI-specific override does not become a universal D02 definition."
55,04 / T4-D14 • D / Launch,"Confirm the scope, launch once and review final evidence","[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Route matrix, bin governance, execution and PSI calculation
[D14E] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/engine.py — classify and calculate_feature_psi
[D14M] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/manifest.py — Population and bin freeze
[D14X] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/runner.py — Execution, persistence, findings and report
[D14T] source-codes/backend/tests/integration/test_lab/diagnostics/t4_d14_population_stability/test_population_stability.py — Integration evidence
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Supported launch sequence is summarized from manifest/runner and diagnostic documentation. Drafts are mutable before freeze; frozen scope and completed artifacts remain historical evidence. Launch availability always follows the register. Server-owned work continues across browser reconnects. Buffered previews remain preliminary until finalization. Incompatible scope, invalid cuts or non-reconciling bins are rejected; unavailable feature evidence is explicit."
56,04 / T4-D14 • E / Issue & RCA,Carry the finding into a controlled investigation,"[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Route matrix, bin governance, execution and PSI calculation
[D14E] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/engine.py — classify and calculate_feature_psi
[D14M] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/manifest.py — Population and bin freeze
[D14X] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/runner.py — Execution, persistence, findings and report
[D14T] source-codes/backend/tests/integration/test_lab/diagnostics/t4_d14_population_stability/test_population_stability.py — Integration evidence
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register",Finding condition and creation gate are implemented as described. RCA uses the existing shared service. Investigation suggestions are derived from diagnostic evidence and framework remediation guidance; they are not automated source fixes. Optional tracked remediation and manual fresh-data assessment are separate from current RCA conclusion approval. Suggested: adjust a justified sample/baseline or correct data; approve fresh bins where required and rerun.
57,05 / Supporting investigation • A,Explain missingness patterns without asserting causality,"[S23] source-codes/docs/architecture/phase1b-missingness.md — Product boundary, flow and preserved controls
[S24] source-codes/backend/supporting_analyses/missingness.py — MissingnessCapability
[S33] source-codes/backend/tests/test_missingness_capability.py — Integration checks","This is a supporting analysis, not registered D06 and not a proof of MCAR, MAR or MNAR. Production implementation is a port of the missingChecks deterministic engine. Findings require explicit user confirmation. No live run or client data is presented."
58,05 / Supporting investigation • B,Freeze the missingness scope and retain descriptive evidence,"[S23] source-codes/docs/architecture/phase1b-missingness.md — Flow and controls
[S24] source-codes/backend/supporting_analyses/missingness.py — build_manifest and execute
[S33] source-codes/backend/tests/test_missingness_capability.py — test_missingness_capability","Parameters, seed, scope, inventory fingerprint, period column and missing-code policy freeze into analysis_manifests. Co-missing block members are excluded from one another’s predictor pools. Zero remains valid unless explicitly declared missing. The current documented vertical slice executes synchronously; no diagnostic-progress streaming is promised."
59,05 / Supporting investigation • C,Review observations before starting an issue or RCA,"[S23] source-codes/docs/architecture/phase1b-missingness.md — APIs and human observation disposition
[S24] source-codes/backend/supporting_analyses/missingness.py — Catalog and execute
[S33] source-codes/backend/tests/test_missingness_capability.py — Observation confirmation tests
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — Shared RCA and optional follow-up","Launch is through analyses/catalog, analyses/manifests, manifest/run and analysis-observations disposition, not diagnostic ID dispatch. Above-tolerance observations remain open until confirmed or dismissed with a reason. A confirmed issue enters the shared RCA journey. Source remediation and corrected-data retest are manual follow-up."
60,06 / Planned • T3-D12,Check label consistency against the business process,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — register row 12; workflow_pending
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 13
[S10] source-codes/backend/dq_diagnostics/dispatch.py — Adapter dispatch omits this ID","Classification: Planned. Register metadata exists, but no executable diagnostic adapter or accepted current launch workflow is present for T3-D12. Planned method: deterministic violation count after documented rule exceptions. Data and domain SMEs would review conflicts before accepting an issue. Any issue/RCA/remediation journey for this entry is proposed. D17 resolution floor metadata is 0.75 in the current threshold defaults but should be validated for use case before implementation. D20 adjacent governed KB proposals in D11 do not equal execution of this registered proposal loop."
61,06 / Planned • T5-D17,Review how fully each vintage’s outcomes have resolved,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — register row 17; workflow_pending
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 18
[S10] source-codes/backend/dq_diagnostics/dispatch.py — Adapter dispatch omits this ID","Classification: Planned. Register metadata exists, but no executable diagnostic adapter or accepted current launch workflow is present for T5-D17. Planned method: resolved count / total count by vintage against a tunable floor. Model and portfolio teams would distinguish incomplete observation from a defect. Any issue/RCA/remediation journey for this entry is proposed. D17 resolution floor metadata is 0.75 in the current threshold defaults but should be validated for use case before implementation. D20 adjacent governed KB proposals in D11 do not equal execution of this registered proposal loop."
62,06 / Planned • T6-D20,Expand governed relationships through an SME-reviewed loop,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — register row 20; workflow_pending
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 21
[S10] source-codes/backend/dq_diagnostics/dispatch.py — Adapter dispatch omits this ID","Classification: Planned. Register metadata exists, but no executable diagnostic adapter or accepted current launch workflow is present for T6-D20. Planned sequence: propose → validate → persist → route into a Test 2 engine. SMEs would review candidates; confidence ranks proposals and is not a data metric. Any issue/RCA/remediation journey for this entry is proposed. D17 resolution floor metadata is 0.75 in the current threshold defaults but should be validated for use case before implementation. D20 adjacent governed KB proposals in D11 do not equal execution of this registered proposal loop."
63,06 / Deferred • T1-D01,Check whether feature information arrives after the outcome,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 2; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Is a field known only after the outcome (or a look-ahead construction) in the feature set? Planned metric: field availability vs as-of date. Workbook default/decision rule: any post-outcome field in features -> flag. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
64,06 / Deferred • T1-D03,Review category-level target purity with a volume guard,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 4; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Does a category value predict the outcome almost deterministically (a proxy for the target)? Planned metric: per-category outcome rate vs base rate; Cramer's V; Information Value (alt: mutual information). NOT a chi-square significance test - significance over-fires at large n; use effect size.. Workbook default/decision rule: conditional outcome rate near 0/1 (e.g. >~95% vs a far base rate) OR Cramer's V / IV > ~0.5; VOLUME-GATED (min category count) to exclude small-sample noise; tunable.. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
65,06 / Deferred • T2-D05,Reconcile recorded derived values with their formulas,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 6; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Does a derived field equal its formula? Planned metric: abs(recorded - derived). Workbook default/decision rule: abs diff > small tolerance -> flag. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
66,06 / Deferred • T2-D07,Identify fields that appear frozen or disguised as missing,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 8; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Is a normally-varying field frozen/sentinel over a segment-period? Planned metric: within-segment variance over time; sentinel share. Workbook default/decision rule: zero/near-zero variance where variance expected -> flag. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
67,06 / Deferred • T2-D09,Screen material numeric fields for robust outlier candidates,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 10; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Improbable extreme values in a material field's tail. Planned metric: robust z = 0.6745*(x-median)/MAD (alt: IQR fence, isolation forest). Workbook default/decision rule: |robust z| > ~3.5 -> flag; material fields only; gated on value-semantics. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
68,06 / Deferred • T2-D10,Look for implausible concentration at declared boundaries,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 11; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Implausible mass at a bounded field's min/max. Planned metric: share of mass at boundary. Workbook default/decision rule: boundary share > X% -> flag. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
69,06 / Deferred • T3-D13,Locate target-rate breaks around definition changes,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 14; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Does the target rate shift over time for definitional reasons? Planned metric: change-point / structural-break statistic on target-rate series. Workbook default/decision rule: significant break vs significance level -> flag; align to definition dates. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
